Date, Price, Grid load forecast, Wind power forecast
2013-01-01 00:00:00,31.05,42497,2798
2013-01-01 01:00:00,30.47,41463,2417
2013-01-01 02:00:00,28.92,40812,2036
2013-01-01 03:00:00,27.88,40246,1706
2013-01-01 04:00:00,26.96,40088,1427
2013-01-01 05:00:00,27.84,40360,1183
2013-01-01 06:00:00,28.79,41027,1012
2013-01-01 07:00:00,28.63,41976,908
2013-01-01 08:00:00,28.44,42705,848
2013-01-01 09:00:00,28.3,43503,819
2013-01-01 10:00:00,30.65,44766,816
2013-01-01 11:00:00,31.55,45691,830
2013-01-01 12:00:00,32.16,46085,835
2013-01-01 13:00:00,32.45,46306,821
2013-01-01 14:00:00,32.63,46918,822
2013-01-01 15:00:00,33.65,48161,843
2013-01-01 16:00:00,34.9,49542,881
2013-01-01 17:00:00,36.22,50210,968
2013-01-01 18:00:00,36.65,49909,1102
2013-01-01 19:00:00,36.37,49107,1233
2013-01-01 20:00:00,35.49,48101,1332
2013-01-01 21:00:00,34.41,47445,1342
2013-01-01 22:00:00,34.66,45680,1327
2013-01-01 23:00:00,32.55,44099,1352
2013-01-02 00:00:00,33.15,42602,1350
2013-01-02 01:00:00,32.66,41720,1314
2013-01-02 02:00:00,31.83,41519,1339
2013-01-02 03:00:00,31.47,41672,1352
2013-01-02 04:00:00,32.56,42621,1347
2013-01-02 05:00:00,34.36,44805,1407
2013-01-02 06:00:00,36.28,48444,1464
2013-01-02 07:00:00,38.39,52178,1498
2013-01-02 08:00:00,39.09,53740,1576
2013-01-02 09:00:00,38.33,53976,1683
2013-01-02 10:00:00,38.42,54480,1815
2013-01-02 11:00:00,38.25,54787,1925
2013-01-02 12:00:00,37.96,54592,1979
2013-01-02 13:00:00,37.89,54511,2005
2013-01-02 14:00:00,37.88,54848,2007
2013-01-02 15:00:00,38.78,55705,1966
2013-01-02 16:00:00,39.83,56651,1891
2013-01-02 17:00:00,39.91,56935,1821
2013-01-02 18:00:00,39.32,55997,1774
2013-01-02 19:00:00,38.49,54835,1734
2013-01-02 20:00:00,37.46,53220,1716
